,img_id,date,cloud_cover,vegetation_percentage,no_vegetation_percentage,water_percentage
243,243,2022-11-02,98.714244,0.0,0.0,1.285673
244,244,2022-11-07,24.776474,39.490789,0.8562729999999998,18.149908
245,245,2022-11-07,9.748376,6.259543,0.734731,82.382971
246,246,2022-11-12,19.448498,44.646549,0.701293,18.219416
247,247,2022-11-12,5.587879,7.288255,0.943333,85.560125
248,248,2022-11-17,68.295121,20.376971,0.349772,3.104182
249,249,2022-11-17,49.316782,0.223229,0.026214,48.329726
250,250,2022-11-22,64.711201,25.995073,0.401744,5.432264
251,251,2022-11-22,70.449847,0.246111,0.018305,28.240445
252,252,2022-11-27,60.740066,32.164192,0.665696,4.59049
253,253,2022-11-27,35.031006,0.156509,0.013105,60.314673
254,254,2022-12-02,24.721985,37.433833,0.66708,16.967413
255,255,2022-12-02,9.3897,6.429004,0.800556,82.440758
